symbol,rf_signal,rf_confidence,recommendation,risk_level
1000CATUSDT,SELL,0.7,強烈賣出,HIGH
1000CHEEMSUSDT,HOLD,0.56,持有,LOW
1000BONKUSDT,BUY,0.62,買入,MEDIUM
1000FLOKIUSDT,HOLD,0.43,持有,LOW
1000LUNCUSDT,HOLD,0.61,持有,LOW
1000WHYUSDT,HOLD,0.51,持有,LOW
1000SATSUSDT,SELL,0.6,賣出,HIGH
1000SHIBUSDT,HOLD,0.66,持有,LOW
1000PEPEUSDT,SELL,0.9,強烈賣出,HIGH
1000RATSUSDT,SELL,0.38,賣出,HIGH
1INCHUSDT,SELL,0.77,強烈賣出,HIGH
AAVEUSDT,SELL,0.56,賣出,HIGH
1000XUSDT,BUY,0.66,買入,MEDIUM
1MBABYDOGEUSDT,SELL,0.59,賣出,HIGH
1000XECUSDT,HOLD,0.75,持有,LOW
ADAUSDT,SELL,0.55,賣出,HIGH
ACXUSDT,SELL,0.69,強烈賣出,HIGH
ACTUSDT,SELL,0.83,強烈賣出,HIGH
ACEUSDT,SELL,0.48,賣出,HIGH
ACHUSDT,SELL,0.42,賣出,HIGH
AGTUSDT,BUY,0.74,強烈買入,MEDIUM
AGLDUSDT,SELL,0.61,賣出,HIGH
AEVOUSDT,SELL,0.51,賣出,HIGH
AEROUSDT,HOLD,0.45,持有,LOW
AI16ZUSDT,SELL,0.72,強烈賣出,HIGH
AERGOUSDT,HOLD,0.67,持有,LOW
AIUSDT,SELL,0.75,強烈賣出,HIGH
AIOTUSDT,SELL,0.93,強烈賣出,HIGH
AKTUSDT,HOLD,0.49,持有,LOW
AIXBTUSDT,HOLD,0.52,持有,LOW
ALCHUSDT,HOLD,0.73,持有,LOW
ALGOUSDT,SELL,0.78,強烈賣出,HIGH
ALICEUSDT,HOLD,0.42,持有,LOW
ALPHAUSDT,BUY,0.53,買入,MEDIUM
ALPINEUSDT,HOLD,0.58,持有,LOW
ALTUSDT,HOLD,0.47,持有,LOW
ANKRUSDT,HOLD,0.58,持有,LOW
ANIMEUSDT,SELL,0.85,強烈賣出,HIGH
APEUSDT,SELL,0.56,賣出,HIGH
APTUSDT,HOLD,0.43,持有,LOW
API3USDT,SELL,0.84,強烈賣出,HIGH
ARBUSDT,SELL,0.37,賣出,HIGH
ARCUSDT,SELL,0.61,賣出,HIGH
ARKUSDT,HOLD,0.42,持有,LOW
ARKMUSDT,SELL,0.51,賣出,HIGH
ARUSDT,SELL,0.74,強烈賣出,HIGH
ARPAUSDT,SELL,0.48,賣出,HIGH
ASRUSDT,HOLD,0.96,持有,LOW
ASTRUSDT,SELL,0.91,強烈賣出,HIGH
ATAUSDT,HOLD,0.86,持有,LOW
AUSDT,HOLD,0.56,持有,LOW
AVAAIUSDT,SELL,0.83,強烈賣出,HIGH
AUCTIONUSDT,SELL,0.77,強烈賣出,HIGH
ATOMUSDT,SELL,0.45,賣出,HIGH
ATHUSDT,SELL,0.39,賣出,HIGH
AWEUSDT,HOLD,0.62,持有,LOW
AVAUSDT,SELL,0.75,強烈賣出,HIGH
AXLUSDT,SELL,0.81,強烈賣出,HIGH
AVAXUSDT,SELL,0.68,強烈賣出,HIGH
AXSUSDT,HOLD,0.42,持有,LOW
B2USDT,HOLD,0.84,持有,LOW
BABYUSDT,SELL,0.87,強烈賣出,HIGH
BAKEUSDT,SELL,0.43,賣出,HIGH
BANANAUSDT,SELL,0.47,賣出,HIGH
B3USDT,SELL,0.92,強烈賣出,HIGH
BANDUSDT,SELL,0.79,強烈賣出,HIGH
BANKUSDT,HOLD,0.63,持有,LOW
BATUSDT,SELL,0.6,賣出,HIGH
BBUSDT,SELL,0.9,強烈賣出,HIGH
BCHUSDT,HOLD,0.79,持有,LOW
BANUSDT,BUY,0.74,強烈買入,MEDIUM
BDXNUSDT,SELL,0.45,賣出,HIGH
BICOUSDT,SELL,0.44,賣出,HIGH
BERAUSDT,SELL,0.59,賣出,HIGH
BELUSDT,SELL,0.49,賣出,HIGH
BIDUSDT,SELL,0.97,強烈賣出,HIGH
BEAMXUSDT,HOLD,0.46,持有,LOW
BIGTIMEUSDT,SELL,0.62,賣出,HIGH
BLURUSDT,SELL,0.56,賣出,HIGH
BIOUSDT,SELL,0.58,賣出,HIGH
BNBUSDT,HOLD,1.0,持有,LOW
BMTUSDT,HOLD,0.7,持有,LOW
BNTUSDT,HOLD,0.41,持有,LOW
BRUSDT,HOLD,0.99,持有,LOW
BRETTUSDT,SELL,0.83,強烈賣出,HIGH
BSVUSDT,HOLD,0.65,持有,LOW
BOMEUSDT,SELL,0.7,強烈賣出,HIGH
BUSDT,SELL,0.53,賣出,HIGH
BSWUSDT,BUY,0.91,強烈買入,MEDIUM
BTCUSDT,HOLD,0.95,持有,LOW
C98USDT,SELL,0.88,強烈賣出,HIGH
CAKEUSDT,HOLD,0.51,持有,LOW
CATIUSDT,SELL,0.78,強烈賣出,HIGH
CELOUSDT,SELL,0.88,強烈賣出,HIGH
CELRUSDT,SELL,0.64,賣出,HIGH
CETUSUSDT,SELL,0.85,強烈賣出,HIGH
CFXUSDT,SELL,0.6,賣出,HIGH
CGPTUSDT,SELL,0.73,強烈賣出,HIGH
CHESSUSDT,SELL,0.96,強烈賣出,HIGH
CHILLGUYUSDT,SELL,0.85,強烈賣出,HIGH
CKBUSDT,SELL,0.59,賣出,HIGH
CHRUSDT,HOLD,0.41,持有,LOW
COOKIEUSDT,SELL,0.78,強烈賣出,HIGH
COMPUSDT,SELL,0.48,賣出,HIGH
CHZUSDT,SELL,0.46,賣出,HIGH
COTIUSDT,SELL,0.48,賣出,HIGH
COSUSDT,HOLD,0.42,持有,LOW
CTKUSDT,SELL,0.56,賣出,HIGH
CRVUSDT,SELL,0.81,強烈賣出,HIGH
COWUSDT,SELL,0.81,強烈賣出,HIGH
CVCUSDT,SELL,0.78,強烈賣出,HIGH
CTSIUSDT,SELL,0.48,賣出,HIGH
CYBERUSDT,SELL,0.92,強烈賣出,HIGH
DASHUSDT,HOLD,0.55,持有,LOW
DEEPUSDT,SELL,0.67,強烈賣出,HIGH
DEFIUSDT,SELL,0.55,賣出,HIGH
DEGENUSDT,SELL,0.8,強烈賣出,HIGH
DEXEUSDT,HOLD,1.0,持有,LOW
DENTUSDT,SELL,0.58,賣出,HIGH
DEGOUSDT,SELL,0.67,強烈賣出,HIGH
DFUSDT,HOLD,0.89,持有,LOW
DMCUSDT,SELL,0.66,強烈賣出,HIGH
DODOXUSDT,SELL,0.53,賣出,HIGH
DOGEUSDT,SELL,0.53,賣出,HIGH
