symbol,current_price,rf_prediction,rf_signal,rf_confidence,price_change_24h,volatility,recommendation,risk_level,train_score,test_score,top_features,status
BTCUSDT,111195.0,1,BUY,0.77625,1.995046780407265,0.6613232142934763,強烈買入,MEDIUM,0.9670461354104254,0.9282296650717703,"['ma_5', 'ma_50', 'ma_10']",SUCCESS
ETHUSDT,2775.2,1,BUY,0.7025,4.511167766936178,1.497178652450005,強烈買入,MEDIUM,0.9394847213900539,0.7966507177033493,"['ma_50', 'ma_5', 'bb_lower']",SUCCESS
BNBUSDT,669.35,1,BUY,0.48,1.029387348497434,0.44464046595193535,買入,MEDIUM,0.9916117435590174,0.9258373205741627,"['ma_50', 'bb_width', 'macd_signal']",SUCCESS
ADAUSDT,0.6266,1,BUY,0.7193884115696357,2.6371826371826375,1.0612771342538336,強烈買入,MEDIUM,0.8585979628520072,0.7344497607655502,"['ma_20', 'ma_50', 'bb_middle']",SUCCESS
DOTUSDT,3.644,1,BUY,0.5893856668775485,3.4933257597273566,1.382767129960234,買入,MEDIUM,0.9544637507489515,0.8133971291866029,"['ma_50', 'bb_middle', 'bb_upper']",SUCCESS
AVAXUSDT,19.509,1,BUY,0.596458532228407,5.317426041891596,1.8248810257300692,買入,MEDIUM,0.9478729778310365,0.7607655502392344,"['ma_50', 'bb_upper', 'ma_20']",SUCCESS
ATOMUSDT,4.313,1,BUY,0.7757508183965786,2.7393997141495787,0.9780548439343447,強烈買入,MEDIUM,0.9376872378669863,0.7870813397129187,"['ma_50', 'ma_20', 'bb_middle']",SUCCESS
FILUSDT,2.447,1,BUY,0.4923738437443093,4.171988080034051,1.2834906028100188,買入,MEDIUM,0.9748352306770521,0.7966507177033493,"['ma_50', 'atr', 'macd_signal']",SUCCESS
LINKUSDT,14.33,0,HOLD,0.3696711695982743,2.29868646487722,0.8969767146236596,持有,LOW,0.9179149191132414,0.7488038277511961,"['ma_50', 'bb_lower', 'bb_upper']",SUCCESS
UNIUSDT,8.081,1,BUY,0.9197297297297297,-0.8709519136408211,1.0635677581799179,強烈買入,MEDIUM,0.9670461354104254,0.7703349282296651,"['ma_50', 'bb_lower', 'bb_upper']",SUCCESS
